Time	Fxf	Fyf	Fzf	Ftf	aux	Fx	Fy	Fz	Ft
1.384000	0.012787	0.033905	-0.209682	0.212790	-0.001831	-0.028687	0.027415	-0.259352	0.262370
1.392000	0.041424	0.105762	0.112025	0.159534	-0.001373	0.085756	0.115155	0.167900	0.220919
1.400000	0.082633	0.064254	0.285644	0.304219	-0.003052	0.036164	0.057933	0.236566	0.246226
1.408000	-0.016317	-0.041937	0.099135	0.108870	0.004578	0.032349	-0.041250	0.137382	0.147044
1.416000	-0.102446	-0.107018	0.009718	0.148467	-0.002289	-0.150759	-0.102286	-0.015208	0.182817
1.424000	-0.048314	-0.162276	0.009809	0.169600	-0.002136	-0.005798	-0.170952	0.015310	0.171734
1.432000	-0.031259	-0.155067	-0.286424	0.327203	-0.002289	-0.063020	-0.144249	-0.266982	0.309933
1.440000	-0.066097	-0.143630	-0.319699	0.356660	0.000000	-0.047761	-0.155693	-0.358536	0.393789
1.448000	-0.203054	-0.195604	0.243234	0.372364	-0.002594	-0.207980	-0.182396	0.282343	0.395274
1.456000	-0.277062	-0.207391	0.335079	0.481718	-0.000610	-0.280461	-0.220544	0.312861	0.474531
1.464000	-0.091641	-0.154172	0.103264	0.206955	-0.002289	-0.089723	-0.144249	0.106864	0.200693
1.472000	-0.066461	-0.197853	0.153876	0.259308	-0.001373	-0.059205	-0.201470	0.160271	0.264163
1.480000	-0.205836	-0.267052	0.213228	0.398938	0.003662	-0.223239	-0.270136	0.206048	0.406528
1.488000	-0.232904	-0.172126	0.167956	0.334785	-0.001068	-0.207980	-0.163322	0.167900	0.313242
1.496000	-0.155718	0.042187	0.045402	0.167598	-0.002899	-0.185092	0.027415	0.061087	0.196831
1.504000	-0.084572	0.042733	0.076022	0.121482	-0.001221	-0.055390	0.061748	0.038198	0.091324
1.512000	-0.184601	-0.109980	0.190558	0.287203	0.001373	-0.207980	-0.125175	0.251825	0.349772
1.520000	-0.181889	0.060166	0.257032	0.320576	-0.002594	-0.166018	0.061748	0.175530	0.249370
1.528000	0.089880	0.271670	0.180284	0.338209	-0.001526	0.078126	0.286819	0.274713	0.404767
1.536000	0.247392	0.344532	-0.102728	0.436415	-0.002136	0.257420	0.317337	-0.198316	0.454199
1.544000	0.183936	0.462028	0.026414	0.497996	-0.002747	0.177310	0.492816	0.114494	0.536111
1.552000	0.137854	0.378580	0.585267	0.710538	0.001678	0.139162	0.351670	0.503599	0.629801
1.560000	0.131576	0.216595	0.694459	0.739256	-0.002136	0.135348	0.237227	0.770631	0.817599
1.568000	0.081939	0.150670	0.366743	0.404865	-0.001831	0.074311	0.134229	0.305231	0.341622
1.576000	0.033102	0.099169	0.345812	0.361270	-0.001831	0.043793	0.115155	0.381526	0.400925
1.584000	0.034240	0.111722	0.245903	0.272255	0.002747	0.020905	0.092266	0.236566	0.254781
1.592000	0.112037	0.070893	-0.162471	0.209702	-0.001831	0.127718	0.096081	-0.167798	0.231732
1.600000	0.124554	-0.052670	-0.045878	0.142803	-0.001984	0.104829	-0.083213	-0.038097	0.139158
1.608000	-0.078938	-0.140621	0.322657	0.360712	-0.002441	-0.051575	-0.106101	0.312861	0.334364
1.616000	-0.123726	-0.137947	0.165608	0.248522	-0.003052	-0.158389	-0.174767	0.183159	0.298626
1.624000	0.059085	-0.107603	-0.030158	0.126408	-0.001068	0.093385	-0.071768	-0.053356	0.129299
1.632000	0.037780	-0.084087	0.096995	0.133814	-0.002136	0.013275	-0.113731	0.114494	0.161925
1.640000	-0.012221	-0.027874	0.016422	0.034583	-0.000916	-0.001984	-0.010732	0.015310	0.018802
1.648000	-0.034715	-0.068845	-0.029008	0.082378	-0.002899	-0.032502	-0.067954	-0.045726	0.088119
1.656000	-0.187599	-0.039939	0.353114	0.401843	0.004425	-0.196536	-0.060324	0.381526	0.433391
1.664000	-0.222327	-0.022358	0.435593	0.489561	-0.002136	-0.211795	0.012156	0.396785	0.449937
1.672000	-0.208302	-0.194456	-0.133151	0.314534	-0.001526	-0.219425	-0.231988	-0.076244	0.328297
1.680000	-0.298186	-0.174156	-0.312780	0.465914	-0.002136	-0.284276	-0.144249	-0.389054	0.502975
1.688000	-0.289014	-0.118530	0.147223	0.345331	-0.003052	-0.307164	-0.136619	0.228936	0.406726
1.696000	-0.205664	-0.171991	0.202145	0.335770	-0.002136	-0.185092	-0.163322	0.129753	0.278871
1.704000	-0.188792	-0.109592	0.053188	0.224682	-0.001831	-0.207980	-0.113731	0.114494	0.263248
1.712000	-0.184009	0.030966	0.105012	0.214117	-0.001831	-0.169833	0.035045	0.045828	0.179364
1.720000	-0.069499	0.218520	-0.075054	0.241277	-0.002594	-0.074464	0.210524	-0.007579	0.223433
1.728000	0.198637	0.254207	-0.149750	0.355672	0.005341	0.188754	0.267745	-0.228834	0.399601
1.736000	0.230432	0.169102	0.120219	0.310076	-0.001526	0.257420	0.153302	0.206048	0.363624
1.744000	0.153507	0.190836	0.270493	0.364896	-0.001678	0.116274	0.202894	0.183159	0.297040
1.752000	0.281084	0.160988	0.180054	0.370600	-0.002289	0.314641	0.157117	0.267084	0.441609
1.760000	0.152830	0.123923	0.303275	0.361510	-0.003357	0.135348	0.118970	0.221307	0.285393
1.768000	0.067730	0.195312	0.615197	0.649000	-0.001831	0.066682	0.206709	0.679077	0.712966
1.776000	0.317886	0.207042	0.277715	0.470153	-0.001526	0.329900	0.191450	0.244195	0.452900
1.784000	0.446599	0.152913	-0.235031	0.527326	-0.001984	0.432898	0.172376	-0.228834	0.519114
1.792000	0.363405	0.206763	0.030103	0.419190	-0.002136	0.371862	0.183820	0.038198	0.416570
1.800000	0.196406	0.252631	0.353662	0.476943	0.004730	0.200198	0.275374	0.335749	0.478161
1.808000	0.134904	0.097261	0.247958	0.298566	-0.001984	0.112459	0.080822	0.282343	0.314478
1.816000	-0.055626	0.020565	0.180173	0.189682	-0.001831	-0.013428	0.027415	0.122123	0.125881
1.824000	-0.219416	0.091407	0.091916	0.254847	-0.001526	-0.272831	0.092266	0.175530	0.337284
1.832000	-0.001072	0.059192	-0.031977	0.067286	-0.001678	0.047608	0.054119	-0.137280	0.155052
1.840000	-0.001324	-0.063600	-0.027726	0.069393	-0.000763	-0.032502	-0.056509	0.091605	0.112433
1.848000	-0.241394	-0.126129	-0.042440	0.275646	-0.001984	-0.230869	-0.132804	-0.167798	0.314792
1.856000	-0.334430	-0.047878	0.049458	0.341441	-0.001373	-0.326238	-0.045065	0.175530	0.373193
1.864000	-0.264097	-0.017078	0.240129	0.357353	-0.003052	-0.288090	-0.014547	0.114494	0.310349
1.872000	-0.120626	-0.017059	0.180797	0.218012	0.005646	-0.085908	-0.022176	0.305231	0.317865
1.880000	-0.088617	0.063803	0.055951	0.122696	-0.002594	-0.127871	0.065563	-0.060985	0.156104
1.888000	-0.155103	0.005114	0.153072	0.217977	-0.001373	-0.116426	0.012156	0.251825	0.277702
1.896000	-0.186694	0.009188	0.103344	0.213586	-0.002594	-0.219425	-0.006917	0.030569	0.221652
1.904000	-0.046073	0.161065	0.051642	0.175304	0.001526	-0.024872	0.180006	0.099235	0.207046
1.912000	0.051576	0.136386	0.244345	0.284545	-0.002136	0.043793	0.122784	0.213677	0.250303
1.920000	0.076087	0.119003	0.101821	0.174122	-0.002136	0.074311	0.122784	0.122123	0.188447
1.928000	0.143444	0.159396	-0.101441	0.237221	-0.002441	0.146792	0.164747	-0.106762	0.245127
1.936000	0.040253	0.182392	0.152501	0.241130	-0.003357	0.043793	0.172376	0.129753	0.220152
1.944000	0.012283	0.218176	0.268092	0.345868	0.003967	-0.001984	0.225783	0.328120	0.398302
1.952000	0.094401	0.097622	0.414645	0.436316	-0.002289	0.116274	0.099896	0.320490	0.355264
1.960000	0.066025	0.137420	0.523179	0.544940	-0.002136	0.043793	0.122784	0.633300	0.646578
1.968000	0.244056	0.334546	-0.324856	0.526323	-0.003510	0.261234	0.355484	-0.427202	0.614096
1.976000	0.484706	0.201837	-0.626127	0.817137	0.006256	0.471046	0.183820	-0.534015	0.735422
1.984000	0.375297	0.027557	0.617533	0.723156	-0.002136	0.390936	0.038860	0.511228	0.644744
1.992000	0.275929	0.007964	1.176321	1.208276	-0.003510	0.257420	0.000712	1.312327	1.337336
2.000000	0.344996	-0.068122	0.278245	0.448423	-0.003662	0.360418	-0.060324	0.122123	0.385298
2.008000	0.149074	-0.023056	-0.646597	0.663960	-0.005951	0.142977	-0.033621	-0.480608	0.502551
2.016000	-0.147641	0.183615	-0.608333	0.652366	-0.001221	-0.150759	0.195265	-0.778159	0.816326
2.024000	0.025777	0.236880	0.282911	0.369885	-0.002136	0.036164	0.225783	0.442563	0.498144
2.032000	0.361154	-0.002557	0.818741	0.894861	-0.004578	0.337530	0.008342	0.679077	0.758381
2.040000	-0.042342	-0.193751	0.081134	0.214277	-0.005035	0.001831	-0.201470	0.198418	0.282778
2.048000	-0.521983	0.002508	-0.588843	0.786898	0.038605	-0.578012	0.000712	-0.663717	0.880124
2.056000	-0.098278	0.103274	0.104939	0.177021	-0.002136	-0.051576	0.115155	0.099235	0.160525
2.064000	0.157981	-0.107550	0.251623	0.315974	-0.012055	0.131533	-0.121360	0.358638	0.400812
2.072000	-0.159832	-0.237596	-0.333910	0.439879	-0.002289	-0.146944	-0.231988	-0.526385	0.593711
2.080000	-0.270000	-0.435244	-0.280863	0.584142	-0.012970	-0.280461	-0.426541	-0.038097	0.511905
