Time Fxf Fyf Fzf Ftf	
2.912000 -0.155846 0.064216 0.154927 0.228941
2.920000 0.129311 0.190937 0.065655 0.239768
2.928000 0.315712 0.272057 -0.000202 0.416760
2.936000 0.327800 0.250022 0.104043 0.425192
2.944000 0.244904 0.210667 0.239201 0.401965
2.952000 0.217674 0.205425 0.278367 0.408742
2.960000 0.229720 0.219579 0.193902 0.372269
2.968000 0.240428 0.278069 0.146939 0.395878
2.976000 0.315887 0.301719 0.219235 0.488757
2.984000 0.370765 0.225249 0.227106 0.489674
2.992000 0.272872 0.132184 0.178066 0.351623
3.000000 0.032701 0.094156 0.148577 0.178913
3.008000 -0.166862 0.085230 0.111326 0.217946
3.016000 -0.185060 0.065110 0.094187 0.217618
3.024000 -0.113284 0.030915 0.038712 0.123643
3.032000 -0.062431 -0.013071 -0.000803 0.063789
3.040000 -0.082229 -0.070485 0.111084 0.155144
3.048000 -0.165566 -0.147323 0.235587 0.323446
3.056000 -0.234844 -0.201133 0.151690 0.344407
3.064000 -0.279457 -0.214815 -0.021112 0.353111
3.072000 -0.322518 -0.228276 -0.021614 0.395721
3.080000 -0.309223 -0.215282 0.134578 0.400095
3.088000 -0.241320 -0.157276 0.203558 0.352714
3.096000 -0.172187 -0.089188 0.017158 0.194672
3.104000 -0.116942 -0.058625 -0.111777 0.172065
3.112000 -0.077732 -0.064186 0.077862 0.127376
3.120000 -0.051175 -0.011916 0.255321 0.260672
3.128000 -0.012179 0.092509 0.304252 0.318238
3.136000 0.065674 0.145175 0.382031 0.413928
3.144000 0.141842 0.182353 0.356856 0.425109
3.152000 0.182703 0.233231 0.216948 0.367211
3.160000 0.213343 0.248820 0.060139 0.333232
3.168000 0.237536 0.239391 -0.007508 0.337324
3.176000 0.236557 0.208273 0.104989 0.332204
3.184000 0.179950 0.166471 0.218495 0.328382
3.192000 0.086829 0.148630 0.244573 0.299075
3.200000 0.027090 0.133788 0.282393 0.313655
3.208000 0.011412 0.105255 0.262468 0.283016
3.216000 0.026775 0.095080 0.098986 0.139840
3.224000 0.046725 0.083439 -0.012916 0.096499
3.232000 0.039211 0.034540 0.124422 0.134949
3.240000 -0.021845 -0.030046 0.273935 0.276442
3.248000 -0.137061 -0.072439 0.221280 0.270181
3.256000 -0.211829 -0.076383 0.167779 0.280812
3.264000 -0.198662 -0.045884 0.229134 0.306715
3.272000 -0.132972 -0.011207 0.296628 0.325262
3.280000 -0.107302 -0.020967 0.274520 0.295490
3.288000 -0.213106 -0.052433 0.187079 0.288378
3.296000 -0.330018 -0.046098 0.043602 0.336062
3.304000 -0.297546 -0.012557 -0.050467 0.302057
3.312000 -0.173576 0.023554 -0.054685 0.183504
3.320000 -0.077043 0.058202 0.018400 0.098294
3.328000 0.028261 0.101214 0.246914 0.268345
3.336000 0.154730 0.155551 0.322698 0.390220
3.344000 0.201818 0.190843 0.111240 0.299209
3.352000 0.150989 0.177595 -0.023442 0.234281
3.360000 0.082401 0.148714 0.001043 0.170020
3.368000 0.057794 0.155090 0.056376 0.174846
3.376000 0.053354 0.157730 0.143145 0.219581
3.384000 0.079300 0.120107 0.290487 0.324186
3.392000 0.141748 0.088185 0.394502 0.428370
3.400000 0.165987 0.077643 0.308877 0.359145
3.408000 0.134688 0.027562 0.158685 0.209956
3.416000 0.082869 -0.047630 0.077830 0.123262
3.424000 0.030269 -0.083960 0.102429 0.135857
3.432000 -0.027697 -0.084205 0.226389 0.243124
3.440000 -0.114208 -0.055996 0.271125 0.299479
3.448000 -0.161393 -0.041474 0.144947 0.220856
3.456000 -0.124053 -0.093225 0.016745 0.156079
3.464000 -0.116289 -0.159771 0.051795 0.204286
3.472000 -0.163581 -0.175182 0.213096 0.320714
3.480000 -0.224054 -0.173842 0.356318 0.455394
3.488000 -0.280197 -0.173405 0.308763 0.451569
3.496000 -0.298489 -0.160268 0.074442 0.346877
3.504000 -0.313934 -0.141129 -0.100446 0.358555
3.512000 -0.302643 -0.084298 -0.078899 0.323920
3.520000 -0.180418 -0.001920 0.038023 0.184391
3.528000 -0.001820 0.057913 0.149503 0.160338
3.536000 0.122535 0.087448 0.163376 0.222157
3.544000 0.174666 0.085761 0.095886 0.216927
3.552000 0.233559 0.089371 0.102213 0.270156
3.560000 0.321539 0.121574 0.201163 0.398289
3.568000 0.357118 0.145793 0.266845 0.469037
3.576000 0.290070 0.144096 0.265792 0.418986
3.584000 0.200356 0.123033 0.343194 0.416007
3.592000 0.234195 0.080043 0.355531 0.433193
3.600000 0.287242 0.012836 0.152598 0.325513
3.608000 0.170369 -0.062899 0.066959 0.193560
3.616000 -0.043708 -0.100070 0.163929 0.196970
3.624000 -0.131736 -0.068315 0.196719 0.246413
3.632000 -0.043373 -0.047808 0.176651 0.188075
3.640000 0.003502 -0.082951 0.132132 0.156051
3.648000 -0.045956 -0.109967 0.042977 0.126696
3.656000 -0.098602 -0.138586 -0.016204 0.170854
3.664000 -0.190092 -0.169058 0.012266 0.254688
3.672000 -0.259122 -0.110971 0.124013 0.307957
3.680000 -0.198384 0.003289 0.294525 0.355122
3.688000 -0.076469 0.079048 0.428666 0.442550
3.696000 0.012752 0.099653 0.367903 0.381373
3.704000 0.026368 0.053403 0.120722 0.134614
3.712000 -0.027383 0.014545 -0.051401 0.060029
3.720000 -0.099914 0.049960 0.015208 0.112739
3.728000 -0.163113 0.104333 0.137977 0.237758
3.736000 -0.135981 0.148393 0.160600 0.257495
3.744000 0.024495 0.158424 0.193452 0.251240
3.752000 0.177988 0.120111 0.249813 0.329413
3.760000 0.204286 0.087653 0.243615 0.329794
3.768000 0.179755 0.089677 0.219364 0.297446
3.776000 0.201592 0.100163 0.193999 0.297166
3.784000 0.237114 0.089315 0.209161 0.328555
3.792000 0.204663 0.045997 0.202511 0.291571
3.800000 0.133114 -0.012614 0.145194 0.197382
3.808000 0.110746 -0.070443 0.212186 0.249499
3.816000 0.094423 -0.087060 0.351425 0.374159
3.824000 0.051045 -0.045365 0.384990 0.391000
3.832000 0.025573 -0.042670 0.289002 0.293253
3.840000 -0.032663 -0.113799 0.162848 0.201336
3.848000 -0.155231 -0.187049 0.116834 0.269693
3.856000 -0.298231 -0.227033 0.084305 0.384178
3.864000 -0.430352 -0.231549 0.002699 0.488697
3.872000 -0.478531 -0.192751 0.003435 0.515904
3.880000 -0.398830 -0.149732 0.050107 0.428947
3.888000 -0.233629 -0.128957 0.051916 0.271860
3.896000 -0.094955 -0.077514 0.065119 0.138799
3.904000 -0.029998 0.002868 0.085090 0.090268
3.912000 0.053504 0.061323 0.080396 0.114397
3.920000 0.142399 0.106554 0.142332 0.227793
3.928000 0.213324 0.121579 0.298875 0.386801
